UserId,total,mean,median,avg_1week_rev,total_1week_rev
3235629,25.0,25.0,25.0,25.0,25.0
3235648,149.73,49.91,46.04,85.27,85.27
3235676,2030.0,112.78,100.0,100.0,100.0
3235707,30.0,30.0,30.0,30.0,30.0
3235740,20.0,20.0,20.0,20.0,20.0
3235749,333.11,111.04,42.63,42.63,42.63
3235793,200.0,100.0,100.0,100.0,100.0
3235836,42.63,42.63,42.63,42.63,42.63
3235840,232.72,33.25,18.42,53.14666666666667,159.44
3235844,144.95,72.47,72.47,72.475,144.95
3235926,60.0,20.0,20.0,20.0,40.0
3235937,17.82,17.82,17.82,17.82,17.82
3235944,26.72,26.72,26.72,26.72,26.72
3235947,230.65,57.66,59.68,46.894999999999996,93.78999999999999
3235954,17.05,17.05,17.05,17.05,17.05
3236009,170.0,34.0,20.0,90.0,90.0
3236019,168.0,42.0,22.5,20.0,40.0
3236034,26.72,26.72,26.72,26.72,26.72
3236047,29.84,29.84,29.84,29.84,29.84
3236071,100.0,100.0,100.0,100.0,100.0
3236077,400.0,200.0,200.0,200.0,400.0
3236098,100.0,25.0,20.0,40.0,40.0
3236135,80.0,20.0,20.0,20.0,20.0
3236138,60.0,60.0,60.0,60.0,60.0
3236163,46.9,46.9,46.9,46.9,46.9
3236165,30.0,30.0,30.0,30.0,30.0
3236186,42.63,42.63,42.63,42.63,42.63
3236297,22.5,22.5,22.5,22.5,22.5
3236319,456.0,38.0,30.0,54.333333333333336,326.0
3236379,750.33,750.33,750.33,750.33,750.33
3236401,230.31,76.77,84.41,105.515,211.03
3236402,279.0,69.75,74.5,69.75,279.0
3236456,53.45,26.72,26.72,26.725,53.45
3236474,209.8,29.97,22.27,26.310000000000002,78.93
3236604,17.05,17.05,17.05,17.05,17.05
3236651,80.0,26.67,20.0,26.666666666666668,80.0
3236686,17.05,17.05,17.05,17.05,17.05
3236832,60.0,30.0,30.0,40.0,40.0
3236836,100.0,100.0,100.0,100.0,100.0
3236851,50.0,50.0,50.0,50.0,50.0
3236992,160.84,26.81,18.03,35.63,35.63
3236999,42.63,42.63,42.63,42.63,42.63
3237003,200.0,50.0,30.0,120.0,120.0
3237015,570.24,71.28,17.87,17.82,17.82
3237053,234.48,26.05,22.35,20.045,40.09
3237094,255.8,255.8,255.8,255.8,255.8
3237100,123.0,30.75,25.0,41.5,83.0
3237176,17.05,17.05,17.05,17.05,17.05
3237205,17.99,17.99,17.99,17.99,17.99
3237240,300.0,150.0,150.0,150.0,300.0
3237487,34.21,17.1,17.1,17.05,17.05
3237497,5542.29,1108.46,852.66,1278.99,5115.96
3237501,26.72,26.72,26.72,26.72,26.72
3237648,60.0,30.0,30.0,30.0,60.0
3237697,3590.0,598.33,495.0,500.0,1000.0
3237746,20.0,20.0,20.0,20.0,20.0
3237853,100.0,50.0,50.0,50.0,100.0
3238133,180.0,60.0,60.0,60.0,180.0
3238361,100.0,100.0,100.0,100.0,100.0
3238387,89.08,89.08,89.08,89.08,89.08
